"Name","StudentTotal","InternationalStudentTotal","FacultyTotal","Tuition","Street","City","State","Locale","longitude","latitude"
"Pikeville College","1452","12","246","30550.0","147 Sycamore St","Pikeville","Kentucky","town","-82.5206131","37.4811243"
"Spalding University","2596","24","267","32764.0","845 S. Third Street","Louisville","Kentucky","city","-85.7569401","38.2424168"
"University of Kentucky","29633","1312","6675","31780.0","410 Administration Drive","Lexington","Kentucky","city","-84.5048995","38.0389102"
"University of Louisville","24366","791","4943","34446.0","2301 S 3rd St","Louisville","Kentucky","city","-85.76014339999999","38.2150536"
"Western Kentucky University","25273","810","2313","29936.0","1906 College Heights Blvd","Bowling Green","Kentucky","city","-86.45613759999999","36.9853546"
"Grambling State University","5071","240","194","24814.0","403 Main Street","Grambling","Louisiana","rural","-92.71450469999999","32.5221156"
"Louisiana State University and Agricultural & Mechanical College","32013","1847","5454","32422.0","101 Hatcher Hall","Baton Rouge","Louisiana","rural","-91.1820853","30.4122959"
"Louisiana Tech University","13866","718","1224","23515.0","305 Wisteria","Ruston","Louisiana","town","-92.64820530000001","32.52688"
"Loyola University New Orleans","5545","148","975","46802.0","6363 Saint Charles Ave","New Orleans","Louisiana","city","-90.12088179999999","29.93477949999999"
"Southeastern Louisiana University","18497","264","1527","25385.0","548 Western Ave.","Hammond","Louisiana","town","-90.46753609999999","30.514"
"Southern University and A & M College","8557","0","1142","23418.0","Southern Branch Post Office","Baton Rouge","Louisiana","city","-91.0969537","30.3754438"
"Tulane University","14037","1174","3406","56484.0","6823 Saint Charles Ave","New Orleans","Louisiana","city","-90.122739","29.9354099"
"University of Louisiana at Lafayette","18914","736","1752","22896.0","104 University Circle","Lafayette","Louisiana","city","-92.01909169999999","30.21532029999999"
"University of Louisiana Monroe","10548","233","1032","23329.0","700 University Avenue","Monroe","Louisiana","city","-92.074836","32.525521"
"University of New Orleans","13832","847","1122","29288.0","2000 Lakeshore Drive","New Orleans","Louisiana","city","-90.0678313","30.0269839"
"Xavier University of Louisiana","3725","97","720","28339.0","One Drexel Drive","New Orleans","Louisiana","city","-90.107084","29.963863"
"American International College","4309","96","216","41866.0","1000 State Street","Springfield","Massachusetts","city","-72.5573236","42.1129218"
"Boston College","16674","1183","2652","56728.0","140 Commonwealth Ave","Chestnut Hill","Massachusetts","city","-71.1668761","42.3400645"
"Boston University","40968","6522","9070","56842.0","One Silber Way","Boston","Massachusetts","city","-71.0999554","42.3497046"
"Brandeis University","6271","1130","1119","56416.0","415 South St","Waltham","Massachusetts","city","-71.2548772","42.365025"
"Clark University","3869","773","656","46200.0","950 Main St","Worcester","Massachusetts","city","-71.82340169999999","42.25154990000001"
"Harvard University","34342","6141","10065","56000.0","Massachusetts Hall","Cambridge","Massachusetts","city","-71.11818339999999","42.3748446"
"Lesley University","8566","124","447","47085.0","29 Everett St","Cambridge","Massachusetts","city","-71.117232","42.380162"
"Massachusetts Institute of Technology","11271","3042","11292","55270.0","77 Massachusetts Avenue","Cambridge","Massachusetts","city","-71.0931389","42.3592444"
"Northeastern University","36462","6327","3309","53812.0","360 Huntington Ave","Boston","Massachusetts","city","-71.0881734","42.339348"
"Regis College","2274","17","216","47650.0","235 Wellesley St","Weston","Massachusetts","suburb","-71.308245","42.3514614"
"Simmons College","5721","125","657","50022.0","300 The Fenway","Boston","Massachusetts","city","-71.1000654","42.3390832"
"Smith College","3269","254","891","55993.0","Elm St","Northampton","Massachusetts","suburb","-72.6467734","42.3234534"
"Springfield College","3425","18","549","45400.0","263 Alden St","Springfield","Massachusetts","city","-72.55662149999999","42.1021856"
"Tufts University","11451","1098","2550","56600.0","1","Medford","Massachusetts","suburb","-71.0813311","42.4043229"
"University of Massachusetts Amherst","31417","1797","4335","37497.0","None","Amherst","Massachusetts","town","-72.5267121","42.3911569"
